BAWA NAMA NINO😲😲 RICKY BERIKAN BUNGA UNTUK ELSA🥺 | IKATAN CINTA,https://www.youtube.com/watch?v=hhQH-wjiE30,29/9/2021,
Nur Yanti dasar nino ga tau malu,Riky Klu so even more destroyed nino n elsa gave2 on behalf of nino when elsa said thank you nino even never gave me,11 hours ago,4
Riyanto Firgo,We Are The Real Female Ganu,7 hours ago,2
nena erna,Neneng Sumpee SK Acting is Sakep ... Successful Slalu Neneng,11 hours ago,4
Mentari Pagi,Neneng is the best,11 hours ago,3
abd hamid mahfudz,I just saw the jump jump after seeing: Ohhhh still this,16 hours ago,5
Meni Pse,"Riki is still in Bandung, see Elsa in the park ... the mending high school is still high school from the high school.",7 hours ago,2
Nuraeni 05,"Love bond if there is no ""Riki Elsa"" feels bland",12 hours ago,7
Yenieta Utami,Elsa ma riki just you can jd queen at riki house ...,9 hours ago,3
Dea Dwi Safitri,"The odgj is pretty beautiful, clean and well maintained, it's not someone who can't sane wkwk 😂",4 hours ago,
Dina mariana Sitorus,Whether after the sweet scene from mas al and andin ntar night actually there will be a big problem because the sound tappers are like in the pocket of mas al,12 hours ago,3
Wandih Siman,Ricky is willing to victim the feeling of his feelings for Elsa by lifying Elsa if the flower is from Nino just want you to elsa and make it happy ... smg if nino knows it makes salh understand,9 hours ago,1
Lucia Fransiska,Elsa beautiful The best ...,13 hours ago,6
lina mardina lina mardina,"Which Bkin is entertained, I keep laughing, Neneng",12 hours ago,4
Nur Yanti dasar nino ga tau malu,Beggars of love ... Love the wrong Riky Keukeuh to Elsa ... Elsa Keukeuh to Nino ..,11 hours ago,3
Sussy Channel.,Riki 1.2 with Billar Handsome☺️,7 hours ago,2
jean via,"Mr. Sut ... if you can Amanda paired with Kevin Hillers, sir, you want to see their acting, for me they fit.:)",2 hours ago,
Yekti Rahayu D,Too cintany to elsa ..riky sacrifice my own feelings ... kasian riky..wajahny sad..ganteng ...,14 hours ago,13
khasanah tkw arab,"Well, bro, Ricky",11 hours ago,3
Rebecca Becca,Pdhl klu al ngomong ma riky tntng jesica riky definitely tau,15 hours ago,2
Dehan Mahansaf,"Wow, I really riki, it's a good handsome person but he behaved",13 hours ago,5
Ridah'nya,Give riky love dead bgt,8 hours ago,3
NUR HATIFAH,12: 51-12-52 Rizky Febian Kw in Don't Disconnect Trans T7 Kmrn Astafirullah,7 hours ago,
Yulia Setjadipura,"If the ending is nti elsa msh with nino, why do Ricky keep acting chasing ""elsa",2 hours ago,
Any,IC is indeed thebest.,9 hours ago,1
Sasa Hurup,Very handsome Mas Riki 😘😘😘,15 hours ago,2
Nur Yanti dasar nino ga tau malu,Don't see Neneng,11 hours ago,2
Galih Bassam,KLO According to my Sih PP Jesica PKE Bodyguard NY NY NATAGINE President .. 😀,8 hours ago (edited),
Rezz,"Stop your love bond, you want to watch Squid Game with me",5 hours ago,
Anton Andilau,Like this one love triangle Ricky Elsa Nino,1 hour ago,
Sartika Dewi,His wife Feletai Cetaar,14 hours ago,7
mang teriani,Rikiy with Elsa Cck Bangettt,9 hours ago,1
Yanti Herlina,"""Ricky who bkl entered the crazy soul hurt gra"" love sma elsa tp d rejected
Ricky Crazy High School Elsa. Crazy Senior High School Nino",15 hours ago,6
Endhel Adriana,Bamboo,17 hours ago,2
Siti Maemunah,Ricky brjuang ampe his life ajj in the victim.Willing to shoot from Elsa survived.Skrg is willing to ngorbanin the love of his love from Elsa Bhgia.Pdhl Nino doesn't think about it.,46 minutes ago,
lina mardina lina mardina,It's reyna the tapping tool ngak love her mother andin,12 hours ago,3
Sasha Fitri,"It's clear, it's clear, the video applot is like the sound of ""an 😢😢",10 hours ago,1
Eva Tatiana,Sineneng,10 hours ago,1
Nada Esti Fadilah,"Long time is uncomfortable looking at Elsa, force again again",2 hours ago,
Tasya Amelia,Really romantic kalu elsa with beautiful handsome riki,15 hours ago,2
nur kholifah,"it's his stomach andin how come it's big ""y, it's not reasonable sich😅",4 hours ago,
Novia Ananda,"Kasian riki 😔 ... mas al sultan ponpel kmn mn ga kepal slalu slalu slatr clay p irfan kmn d d kawal am bodyguarny ... moga aj pbos quickly bay lg sms aspri ny rendi ... trnyta rendi know p irfan ..jgn""Jesika was Bella, a boyfriend, Rendi first .....",13 hours ago,1
Rahma Lolo,Cutely Ricly,15 hours ago,2
maria ulfah,pine parks that were previously found with mamah rossa made an appointment with the appointment turned out to be a park at the place of rehabilitation hmmm,4 hours ago,
N LA,Riza BC Encus Mirna Previously ... hehe,7 hours ago,
Nik Nuk,"Just wanted to be praised, the 4th part of this episode furnished smoothly.Eh, this is just the same but there is a missing voice.Dislike",15 hours ago,3
Luluk Fadliyah,"Riky ""sorry for you to reject Elsa, how come there is no kapok, it's close to Elsa ... until"" willing to victim my feelings, give flowers in the name of Nino for the sake of her happiness, salute Tuk Riky",16 hours ago,11
Ksa Ksa,Ricky tuh sedu the jesicca surely he wants his child well gently dri pda elsa tr llu hard for lo ricky. The reyna is the tapping tool under anything every time you heard lgi lgi lgi kmu mkin mkin mkin fussy ruet,8 hours ago,2
Nur Aisyiah,Riki turns out to be gx kapok2 yes ...,9 hours ago,
mama love papa baby love,Moga riki is installed with Jesika or Katrin,8 hours ago (edited),
PUTU DIKA,"Mr. Director, please Marriage in Elsa and Ricky",7 hours ago,1
Yuli Roy,Riki Stail Keharan's hair in Indian films in Mohabattain.Hihi good know ... !!,7 hours ago,1
Herawati Herawati,"Ngak what, rik tggu his widow Elsa, after birth to the test of your child's dna what the child is Nino just that which can prove to nino who is his real biological father",11 hours ago,6
Ibuaam Ibuaam,"Bro, bro, ""I was lazy to see Mas al since he was suspicious of SM Rendy, if the families of the Sultan Alfahari Nongol Males,",15 hours ago,7
Linda Wati,"Now the ic is less exciting I like the episode of the episode before the pokonya al sm andin who is pling comforts the player who is a player, but it's not a bad one, it's even aladin, which makes you all about",8 hours ago,
Gsmbetul Isa,Handsome haircut riky,5 hours ago,1
Anisa.Septia,"The one is waiting for 3 virgins dazzling. Belucu bnget, don't recover it get well, just like this?",5 hours ago,
Widiyanti Widiyanti,It's knp garden pine deketan sm tmpt is being treated by the elsa sih..nyanya al time it also made an appointment there the levernya..bartarti far away in bandung..gmn this,9 hours ago,1
Ika Nisful L. A,The class of YouTube TV stations but always missing sounds 😓,11 hours ago,1
Anak Rantau,"If it's how come it's Rena, then I don't find it.Kayak Dlu",13 hours ago,2
Maryam Ma,Saudi Arabia Medina is always present,11 hours ago,1
Winda Puspita,"Why if the part is exciting, the sound is often lost ...",2 hours ago,
FAHMI MULIADI SAPUTRA,"That's the 2 people of his friends Elsa, beautiful but love crazy😁",2 hours ago,
Salwa Khifzun,Udh was hit by a copyright but there was a voice 😭😭😭😭😭,12 hours ago,3
Lulu Thea,Makin,16 hours ago,1
Rosnida Purba,"His clothes are beautiful Beautiful Rayna
Not in vain skipping school",6 hours ago,
RS Channel,There is no sound why,12 hours ago,2
Merry Thamson,"In the heart that is the cast of Ricky profit just the soap opera that is paid if he has to be fortunate about the people stresss 👎 if in the real world, it's looking for a rich, there is no other girl, hahahaaaaaa",9 hours ago,
dang darini,Ntr finally elsa sm ricky kl really hhh,8 hours ago,1
Julia Sigli,Kasian you Rick ....,3 hours ago,
Achmad Fauzi,Too many flashbacks that are gaperlu ... so the episode of Samppai 1500 yak,16 hours ago,2
Rohana Budiharto,"As usual Mimin, there must be someone who doesn't have a sound ... SUCH ... KESE😈😈",12 hours ago,2
mama love papa baby love,"Can GK
The role of Riki gk role was made to chase Elsa Mulu",8 hours ago,
Pasaribu Vivo,"It seems like from the tapping tool that in Rena's clothes, the appeal can find out that Andin and Mama Rosa wants to be hospitals. Light can love them, especially there are three lives. It's easy for them.",16 hours ago,8
Nurika Prasetyaningrum,A lot of those who are wrapped in the scene ... hmmm ... diligent is very minceu .. scene andin call ask permission mas al want to go to the hospital no ya ... hmm ...,14 hours ago,
ardini trisnawati,Pacus Less Jelly ... elsa the story of rehabiles in Bandung tp ricky meet elsa in the pine park (there is a garden writing) where mama rossa almost met the treats but foiled al 😂😂😂😂 it should be for the other side so it doesn't look like the pine park writing heheheh,11 hours ago,
Rina Nur789,"It's the tapping tool around ""first rich earrings 🤭🤭🤭",10 hours ago,1
M E O W,"later Ricky's eyes for Nino ... I think it's so good, if you read it",5 hours ago,
Salimah Alfaarr,Riki is not in prison huh?,7 hours ago,
Yemi Rosmawanti,PK Sud Knp gave the role of CI Ricky so that the stupid person had no ignorance of the dumbness of the coral suddenly. Like a stupid person knows.,7 hours ago,
Dody Supryadi,Rikii in a streess,16 hours ago,
kiki arindra,"Knp p.rendy knl ... bnr cetrin g ush sm p.rendi sm nino ja ... tlg dong psut nino sm cetrin kokky kyky exclaimed the pemistra gmn g2 ... mkci y p
SUT UDH DJAUHIN RENDY SM CETRIN",15 hours ago,1
Dini Aminarti,"Elsa is really beautiful, luv elsa",11 hours ago,1
Ahmad Nurbani,Wow Tasya Rei Outdoor,5 hours ago,1
Ema rianie,"Ricky Sok2 Brings Nino's Name Loon Nino Suspicious Elsa More Drop LG, Hero of the Messiah Gara2 He Wants To Divorce Dr. Elsa, He said it was the child he was not nino, but I don't know it, it's not to distyna it later when he's already bsLook",14 hours ago,2
Maya Saroh,Why did his voice disappear yes,9 hours ago,
Asma Wati,P TAMA P IRVAN DON'T HOW TO NKITE KILUARGA AL FAH RI,6 hours ago,
wanita hebat,Irfan where ~ where the controller is abile tp klo aldebaran where ~ own or SM rendy or even ... great same2 sultan tp alderbaran lbh gentel,13 hours ago,
LRoseet Dewi,"The spirit for director BC writer script for a good storyline.Even though the origin of the story is good and the acting of the players is cool, the IC remains a good rating ❤️

Just let the netzen nor is it important to say 'it doesn't watch IC anymore because the story isn't good'.Not watching on TV, but diligently peepip on youtube due to curiosity 🤣🤣",13 hours ago,4
Enden Adee,Hopefully Riki managed to melt Elsa's heart like Aldebaran Angga who could melt Andin's heart and Micuel to his wife after Riki continued Katrien and Rendy,11 hours ago,4
Luluk Fadliyah,First,17 hours ago,
Rayna Camalya,"I want to take a long story, until I forget to call",15 hours ago,2
bunda atik,Taiwan present,16 hours ago,
kenrick tjokro wijaya,"Sorry, I heard that in the future there is a bomb, how come the story is like that, this is a family soap opera or terrorist story so it's not interesting at all.Please be repaired",6 hours ago,
Putri Bungsu,"MDH ""An there is evidence that the caller is at HP Ya Si Belik🤲🤲.
So quickly revealed the tu😠",16 hours ago,
Cici Lalang,Pope Jessica and Love u,11 hours ago,
Sari Adriana,"Your rizki is a loyal man, even if the love is rejecting Elsa TPI Rizki, he still struggles",16 hours ago,4
アニサNaaMii,Irritated Bet her voice is definitely up to,12 hours ago,
Sell Aselliana,"Surely if it's tense, it's definitely no doubled",11 hours ago,
PUTU DIKA,Ow w elsa first you like nino now ricky,7 hours ago,
Sela Mar,Try not to miss ...,13 hours ago,
s nurningsih,"Ricky weve love fighters for Elsa, even though Elsa still her love for Nino ...",9 hours ago,2
Madinah Salafiyah Krasak,Mr. Irvan wants to meet smo,9 hours ago,
via xl,Most riki suwatu when donorin eyes y buwat nino for love y to elsa🤣,10 hours ago,
Susy Teja,Wonder the sound is lost and why ??????????,12 hours ago,
SAMAXBROOX CHANEL,There is no voice ...,9 hours ago,
sri sulhiya,"SDH is lazy to watch IC, but it rarely watches it, ngk the storyline",17 hours ago (edited),12
Lulu Thea,It's true that it's really good,16 hours ago,
Dita Puspitasari,Funny Neneng,14 hours ago,
Siti Rahma,Tuh in his pocket Rena there is a flame,16 hours ago,
HARLAN Gaming,"Elsa sm ricky ja lbh sincere ... catherine sm nino, rafael sm olivia and rendy sm jessica",10 hours ago,
Merlina Tanjung,nino gk pntas can be cintany dr andin.reyna and elsa.suami selfish.playing victim.mrasa bnr himselfAkn takes care of sincere love U elsa.nino is no hope.,2 hours ago,
To Het,How come suddenly the sound is Mr. Su,8 hours ago,
ruliek indam,Haduhh Riki Elsa arose?Don't be to Pak Sut to disgust the nontonya,13 hours ago,
Nur Aini,Jadiny Ms | Facebook Logo Facebook MSH,16 hours ago,1
Kimi jovan,KENPA C His voice likes GA,4 hours ago,
clarissataniapujiyanti,"What do you do it, if you watch the sound you like it",7 hours ago (edited),
Dody Supryadi,Jd malesss nnton ny,16 hours ago,
rahma fitri,D,8 hours ago,
dian rorengar,P,5 hours ago,
NaevaFarzanaOfficial,P,6 hours ago,
Anggit ta,Tukan.Really pexadapxa reyna simply forget then ilang deh,15 hours ago,1
